時間 / s,ベックマン温度計の読み / K
0,0.245
30,0.24
60,0.243
90,0.253
120,0.355
150,0.479
180,0.602
210,0.72
240,0.811
270,0.809
300,0.82
330,0.816
360,0.813
0,0.394
30,0.382
60,0.39
90,0.394
120,0.446
150,0.615
180,0.864
210,1.106
240,1.347
270,1.527
300,1.513
330,1.503
360,1.499
390,1.498
0,0.14
20,0.141
40,0.14
60,0.142
80,0.143
100,0.142
120,0.21
140,0.264
160,0.317
180,0.371
200,0.424
220,0.478
240,0.532
260,0.586
280,0.64
300,0.695
320,0.749
340,0.75
360,0.75
380,0.751
400,0.751
420,0.751
440,0.751